title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
Cybercrime: Vandalizing the Information Society,Steven Furnell,2003,Lecture notes in computer science,10.1007/3-540-45068-8_2,,https://doi.org/10.1007/3-540-45068-8_2,OpenAlex,cybercrime,discovery,191.0,6.0,644,2026-04-23T15:04:15.521928+00:00,40.0,47.51,40.0,0.0,25.0,35.25,Below quality threshold,reject
An Assessment of the Current State of Cybercrime Scholarship,Thomas J. Holt; Adam M. Bossler,2013,Deviant Behavior,10.1080/01639625.2013.822209,,https://doi.org/10.1080/01639625.2013.822209,OpenAlex,cybercrime,discovery,256.0,119.0,645,2026-04-23T15:04:15.521928+00:00,40.0,64.12,40.0,0.0,25.0,40.24,Below quality threshold,reject
Cybercrime Victimization: An Examination of Individual and Situational Level Factors,Fawn T. Ngo; Raymond Paternoster,2011,Digital Commons - University of South Florida (University of South Florida),,,https://scholarcommons.usf.edu/cjp_facpub_sm/17,OpenAlex,cybercrime,discovery,248.0,46.0,646,2026-04-23T15:04:15.521928+00:00,40.0,60.74,40.0,0.0,25.0,39.22,Below quality threshold,reject
Principles of Cybercrime,Jonathan Clough,2015,Cambridge University Press eBooks,10.1017/cbo9781139540803,,https://doi.org/10.1017/cbo9781139540803,OpenAlex,cybercrime,discovery,151.0,174.0,647,2026-04-23T15:04:15.521928+00:00,40.0,56.53,40.0,0.0,25.0,37.96,Below quality threshold,reject
Cybercrime and shifts in opportunities during COVID-19: a preliminary analysis in the UK,David Buil‐Gil; Fernando Miró Llinares; Asier Moneva; Steven Kemp; Nacho Díaz-Castaño,2020,European Societies,10.1080/14616696.2020.1804973,,https://doi.org/10.1080/14616696.2020.1804973,OpenAlex,cybercrime,discovery,240.0,27.0,649,2026-04-23T15:04:15.521928+00:00,40.0,77.21,40.0,0.0,25.0,44.16,Below quality threshold,reject
Organised Cybercrime or Cybercrime that is Organised? An Assessment of the Conceptualisation of Financial Cybercrime as Organised Crime,Rutger Leukfeldt; Anita Lavorgna; E.R. Kleemans,2016,European Journal on Criminal Policy and Research,10.1007/s10610-016-9332-z,,https://doi.org/10.1007/s10610-016-9332-z,OpenAlex,cybercrime,discovery,105.0,71.0,651,2026-04-23T15:04:15.521928+00:00,40.0,51.04,40.0,0.0,25.0,36.31,Below quality threshold,reject
Cybercrimes and the Internet,David S. Wall,2010,,10.4324/9780203164501_chapter_1,,https://doi.org/10.4324/9780203164501_chapter_1,OpenAlex,cybercrime,discovery,156.0,0.0,652,2026-04-23T15:04:15.521928+00:00,40.0,50.27,40.0,0.0,25.0,36.08,Below quality threshold,reject
Cybercrime in Progress,Thomas J. Holt; Adam M. Bossler,2015,,10.4324/9781315775944,,https://doi.org/10.4324/9781315775944,OpenAlex,cybercrime,discovery,97.0,0.0,654,2026-04-23T15:04:15.521928+00:00,40.0,47.81,40.0,0.0,25.0,35.34,Below quality threshold,reject
Cybercrime detection in online communications: The experimental case of cyberbullying detection in the Twitter network,Mohammed Ali Al-Garadi; Kasturi Dewi Varathan; Sri Devi Ravana,2016,Computers in Human Behavior,10.1016/j.chb.2016.05.051,,https://doi.org/10.1016/j.chb.2016.05.051,OpenAlex,cybercrime,discovery,346.0,163.0,655,2026-04-23T15:04:15.521928+00:00,40.0,75.4,40.0,0.0,25.0,43.62,Below quality threshold,reject
A multi-level influence model of COVID-19 themed cybercrime,Rennie Naidoo,2020,European Journal of Information Systems,10.1080/0960085x.2020.1771222,,https://doi.org/10.1080/0960085x.2020.1771222,OpenAlex,cybercrime,discovery,169.0,75.0,656,2026-04-23T15:04:15.521928+00:00,40.0,69.87,40.0,0.0,25.0,41.96,Below quality threshold,reject
"Conceptualizing Cybercrime: Definitions, Typologies and Taxonomies",Kirsty Phillips; Julia Davidson; Ruby Farr; Christine Burkhardt; Stefano Caneppele; Mary Aiken,2022,Forensic Sciences,10.3390/forensicsci2020028,,https://doi.org/10.3390/forensicsci2020028,OpenAlex,cybercrime,discovery,114.0,32.0,657,2026-04-23T15:04:15.521928+00:00,40.0,68.68,40.0,0.0,25.0,41.6,Below quality threshold,reject
The Online Romance Scam: A Serious Cybercrime,Monica T. Whitty; Tom Buchanan,2012,Cyberpsychology Behavior and Social Networking,10.1089/cyber.2011.0352,,https://doi.org/10.1089/cyber.2011.0352,OpenAlex,cybercrime,discovery,186.0,7.0,658,2026-04-23T15:04:15.521928+00:00,40.0,56.23,40.0,0.0,25.0,37.87,Below quality threshold,reject
"Online Threat, But Television is Still Dominant",Stylianos Papathanassopoulos; Sharon Coen; James Curran; Toril Aalberg; David Rowe; Paul K. Jones; Hernando Rojas; Rod Tiffen,2013,Journalism Practice,10.1080/17512786.2012.761324,,https://doi.org/10.1080/17512786.2012.761324,OpenAlex,online threats,discovery,81.0,40.0,672,2026-04-23T15:04:15.521928+00:00,40.0,41.49,40.0,0.0,0.0,28.45,Below quality threshold,reject
"Cyberbullying and Cyberthreats: Responding to the Challenge of Online Social Aggression, Threats, and Distress",Nancy E. Willard,2006,,,,https://dl.acm.org/citation.cfm?id=1396222,OpenAlex,online threats,discovery,713.0,0.0,673,2026-04-23T15:04:15.521928+00:00,40.0,77.01,40.0,0.0,0.0,39.1,Below quality threshold,reject
VIRTUAL REVENGE PORNOGRAPHY AS A NEW ONLINE THREAT TO SEXUAL INTEGRITY,Miha Šepec,2020,Balkan Social Science Review,10.46763/bssr20150118sh,,https://doi.org/10.46763/bssr20150118sh,OpenAlex,online threats,discovery,54.0,18.0,674,2026-04-23T15:04:15.521928+00:00,40.0,46.91,40.0,0.0,0.0,30.07,Below quality threshold,reject
Online Political Microtargeting: Promises and Threats for Democracy,Frederik Zuiderveen Borgesius; Judith Möller; Sanne Kruikemeier; R. Ó Fathaigh; Kristina Irion; Tom Dobber; Balázs Bodó; Claes H. de Vreese,2018,Utrecht Law Review,10.18352/ulr.420,,https://doi.org/10.18352/ulr.420,OpenAlex,online threats,discovery,313.0,0.0,675,2026-04-23T15:04:15.521928+00:00,40.0,77.51,40.0,0.0,0.0,39.25,Below quality threshold,reject
Guarding against online threats: why entrepreneurs take protective measures,Jurjen Jansen; Sander Veenstra; Renske Zuurveen; Wouter Stol,2016,Behaviour and Information Technology,10.1080/0144929x.2016.1160287,,https://doi.org/10.1080/0144929x.2016.1160287,OpenAlex,online threats,discovery,25.0,41.0,677,2026-04-23T15:04:15.521928+00:00,40.0,25.69,40.0,0.0,25.0,28.71,Below quality threshold,reject
Chatbots to Support Children in Coping with Online Threats: Socio-technical Requirements,Lara S. G. Piccolo; Pinelopi Troullinou; Harith Alani,2021,,10.1145/3461778.3462114,,https://doi.org/10.1145/3461778.3462114,OpenAlex,online threats,discovery,23.0,37.0,678,2026-04-23T15:04:15.521928+00:00,40.0,34.14,40.0,0.0,25.0,31.24,Below quality threshold,reject
COVID-19: Threat or Opportunity for Online Education?,Dimitrios Vlachopoulos,2011,Higher Learning Research Communications,10.18870/hlrc.v10i1.1179,,https://doi.org/10.18870/hlrc.v10i1.1179,OpenAlex,online threats,discovery,211.0,1.0,679,2026-04-23T15:04:15.521928+00:00,40.0,57.47,80.0,0.0,0.0,39.24,Below quality threshold,reject
Counter-regulation online: Threat biases retrieval of information during Internet search,Hannah Greving; Kai Sassenberg,2015,Computers in Human Behavior,10.1016/j.chb.2015.03.077,,https://doi.org/10.1016/j.chb.2015.03.077,OpenAlex,online threats,discovery,22.0,68.0,680,2026-04-23T15:04:15.521928+00:00,40.0,22.57,40.0,0.0,0.0,22.77,Below quality threshold,reject
Cybersecurity and the new firm: surviving online threats,Vallari Chandna; Praneet Tiwari,2021,Journal of Business Strategy,10.1108/jbs-08-2021-0146,,https://doi.org/10.1108/jbs-08-2021-0146,OpenAlex,online threats,discovery,15.0,36.0,681,2026-04-23T15:04:15.521928+00:00,40.0,27.14,40.0,0.0,50.0,34.14,Below quality threshold,reject
Impact of Legal Threats on Online Music Sharing Activity: An Analysis of Music Industry Legal Actions,Sudip Bhattacharjee; Ram D. Gopal; Kaveepan Lertwachara; James R. Marsden,2006,The Journal of Law and Economics,10.1086/501085,,https://doi.org/10.1086/501085,OpenAlex,online threats,discovery,179.0,29.0,682,2026-04-23T15:04:15.521928+00:00,40.0,48.84,40.0,0.0,0.0,30.65,Below quality threshold,reject
"Threats to Online Surveys: Recognizing, Detecting, and Preventing Survey Bots",Yanfeng Xu; Sarah Pace; Jaeseung Kim; Aidyn L. Iachini; L. Bailey King; Theresa M. Harrison; Dana DeHart; Sue E. Levkoff; Teri Browne; Ashlee Lewis; Gina M Kunz; Melissa Reitmeier; R Karen Utter; Melissa Simone,2022,Social Work Research,10.1093/swr/svac023,,https://doi.org/10.1093/swr/svac023,OpenAlex,online threats,discovery,129.0,22.0,683,2026-04-23T15:04:15.521928+00:00,40.0,71.25,40.0,0.0,0.0,37.38,Below quality threshold,reject
Threats of Online Social Networks,Abdullah Al Hasib,2009,,,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.504.2782,OpenAlex,online threats,discovery,73.0,12.0,684,2026-04-23T15:04:15.521928+00:00,40.0,35.11,40.0,0.0,0.0,26.53,Below quality threshold,reject
Online advertising: Analysis of privacy threats and protection approaches,José Antonio Estrada; Javier Parra‐Arnau; Ana Rodríguez-Hoyos; Jordi Forné,2016,Computer Communications,10.1016/j.comcom.2016.12.016,,https://doi.org/10.1016/j.comcom.2016.12.016,OpenAlex,online threats,discovery,102.0,97.0,685,2026-04-23T15:04:15.521928+00:00,40.0,50.48,40.0,0.0,0.0,31.14,Below quality threshold,reject
Global Assessment of Online Threats and Intervention Opportunities for Adolescents,David S. Bickham; Michael Rich,2009,Journal of Adolescent Health,10.1016/j.jadohealth.2008.10.053,,https://doi.org/10.1016/j.jadohealth.2008.10.053,OpenAlex,online threats,discovery,10.0,0.0,686,2026-04-23T15:04:15.521928+00:00,40.0,9.57,40.0,0.0,25.0,23.87,Below quality threshold,reject
Cybersecurity Breaches and Issues Surrounding Online Threat Protection,Michelle Moore,2016,"Advances in information security, privacy, and ethics book series",10.4018/978-1-5225-1941-6,,https://doi.org/10.4018/978-1-5225-1941-6,OpenAlex,online threats,discovery,10.0,0.0,687,2026-04-23T15:04:15.521928+00:00,40.0,14.01,40.0,0.0,25.0,25.2,Below quality threshold,reject
Solving Online Threat Screening Games using Constrained Action Space Reinforcement Learning,Sanket Shah; Arunesh Sinha; Pradeep Varakantham; Perrault Andrew; Milind Tambe,2020,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v34i02.5599,,https://doi.org/10.1609/aaai.v34i02.5599,OpenAlex,online threats,discovery,11.0,31.0,688,2026-04-23T15:04:15.521928+00:00,40.0,20.46,40.0,0.0,0.0,22.14,Below quality threshold,reject
SEXTORTION – THE NEWEST ONLINE THREAT,Ioana Veronica Humelnicu,2016,,,,,OpenAlex,online threats,discovery,6.0,0.0,689,2026-04-23T15:04:15.521928+00:00,40.0,9.43,40.0,0.0,0.0,18.83,Below quality threshold,reject
Online Worker Fraud and Evolving Threats to the Integrity of MTurk Data: A Discussion of Virtual Private Servers and the Limitations of IP-Based Screening Procedures,Sean A. Dennis; Brian M. Goodson; Christopher A. Pearson,2019,Behavioral Research in Accounting,10.2308/bria-18-044,,https://doi.org/10.2308/bria-18-044,OpenAlex,online threats,discovery,195.0,25.0,690,2026-04-23T15:04:15.521928+00:00,40.0,70.07,40.0,0.0,0.0,37.02,Below quality threshold,reject
Large Online Social Footprints--An Emerging Threat,Danesh Irani; Steve Webb; Kang Li; Calton Pu,2009,,10.1109/cse.2009.459,,https://doi.org/10.1109/cse.2009.459,OpenAlex,online threats,discovery,105.0,7.0,691,2026-04-23T15:04:15.521928+00:00,40.0,41.64,40.0,0.0,0.0,28.49,Below quality threshold,reject
E-Banking Security: Mitigating Online Threats Using Message Authentication Image (MAI) Algorithm,K. Thamizhchelvy; G. Geetha,2012,,10.1109/iccs.2012.29,,https://doi.org/10.1109/iccs.2012.29,OpenAlex,online threats,discovery,15.0,22.0,692,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,25.0,25.51,Below quality threshold,reject
Social Identity Threat Motivates Science-Discrediting Online Comments,Peter Nauroth; Mario Gollwitzer; Jens Bender; Tobias Rothmund,2015,PLoS ONE,10.1371/journal.pone.0117476,,https://doi.org/10.1371/journal.pone.0117476,OpenAlex,online threats,discovery,85.0,82.0,693,2026-04-23T15:04:15.521928+00:00,40.0,45.28,40.0,0.0,0.0,29.58,Below quality threshold,reject
Worlds tied together? Online and non-domestic routine activities and their impact on digital and traditional threat victimization,Johan van Wilsem,2011,European Journal of Criminology,10.1177/1477370810393156,,https://doi.org/10.1177/1477370810393156,OpenAlex,online threats,discovery,115.0,31.0,694,2026-04-23T15:04:15.521928+00:00,40.0,45.56,40.0,0.0,0.0,29.67,Below quality threshold,reject
"‘Imposter participants’ in online qualitative research, a new and increasing threat to data integrity?",Damien Ridge; Laurna Bullock; Hilary Causer; Tamsin Fisher; Samantha Hider; Tom Kingstone; Lauren Gray; Ruth Riley; Nina Smyth; Victoria Silverwood; Johanna Spiers; Jane Southam,2023,Health Expectations,10.1111/hex.13724,,https://doi.org/10.1111/hex.13724,OpenAlex,online threats,discovery,124.0,14.0,695,2026-04-23T15:04:15.521928+00:00,40.0,75.1,40.0,0.0,0.0,38.53,Below quality threshold,reject
Letter to the Editor: A possible threat to data integrity for online qualitative autism research,Elizabeth Pellicano; Dawn Adams; Laura Crane; Calliope Hollingue; Connie Allen; Katherine Almendinger; Monique Botha; Tori Haar; Steven K. Kapp; Elizabeth Wheeley,2023,Autism,10.1177/13623613231174543,,https://doi.org/10.1177/13623613231174543,OpenAlex,online threats,discovery,115.0,20.0,696,2026-04-23T15:04:15.521928+00:00,40.0,73.52,40.0,0.0,0.0,38.05,Below quality threshold,reject
Risk and return in an equilibrium APT,Gregory Connor; Robert A. Korajczyk,1988,Journal of Financial Economics,10.1016/0304-405x(88)90062-1,,https://doi.org/10.1016/0304-405x(88)90062-1,OpenAlex,APT,discovery,540.0,26.0,744,2026-04-23T15:04:15.521928+00:00,40.0,58.45,40.0,0.0,25.0,38.54,Below quality threshold,reject
Functionalization of SBA-15 with APTES and Characterization of Functionalized Materials,A. S. Maria Chong; Xin Zhao,2003,The Journal of Physical Chemistry B,10.1021/jp035877+,,https://doi.org/10.1021/jp035877+,OpenAlex,APT,discovery,734.0,21.0,745,2026-04-23T15:04:15.521928+00:00,40.0,74.81,40.0,0.0,25.0,43.44,Below quality threshold,reject
Amide proton transfer (APT) contrast for imaging of brain tumors,Jinyuan Zhou; Bachchu Lal; David A. Wilson; John Laterra; Peter C.M. van Zijl,2003,Magnetic Resonance in Medicine,10.1002/mrm.10651,,https://doi.org/10.1002/mrm.10651,OpenAlex,APT,discovery,655.0,32.0,747,2026-04-23T15:04:15.521928+00:00,40.0,72.43,40.0,0.0,25.0,42.73,Below quality threshold,reject
Progress of porous silicon APTES-functionalization by FTIR investigations,N. Majoul; S. Aouida; B. Bessaı̈s,2015,Applied Surface Science,10.1016/j.apsusc.2015.01.107,,https://doi.org/10.1016/j.apsusc.2015.01.107,OpenAlex,APT,discovery,389.0,23.0,749,2026-04-23T15:04:15.521928+00:00,40.0,76.03,40.0,0.0,25.0,43.81,Below quality threshold,reject
Aptness in metaphor,Roger Tourangeau; Robert J. Sternberg,1981,Cognitive Psychology,10.1016/0010-0285(81)90003-7,,https://doi.org/10.1016/0010-0285(81)90003-7,OpenAlex,APT,discovery,229.0,35.0,751,2026-04-23T15:04:15.521928+00:00,40.0,38.75,40.0,0.0,25.0,32.62,Below quality threshold,reject
"Wise Choices, Apt Feelings: A Theory of Normative Judgement.",Donald C. Hubin; Allan Gibbard,1991,The Philosophical Quarterly,10.2307/2219603,,https://doi.org/10.2307/2219603,OpenAlex,APT,discovery,414.0,0.0,752,2026-04-23T15:04:15.521928+00:00,40.0,54.73,40.0,0.0,25.0,37.42,Below quality threshold,reject
Effects of familiarity and aptness on metaphor processing.,Dawn G. Blasko; Cynthia M. Connine,1993,Journal of Experimental Psychology Learning Memory and Cognition,10.1037//0278-7393.19.2.295,,https://doi.org/10.1037//0278-7393.19.2.295,OpenAlex,APT,discovery,305.0,34.0,753,2026-04-23T15:04:15.521928+00:00,40.0,49.83,40.0,0.0,25.0,35.95,Below quality threshold,reject
Drug-resistance genotyping in HIV-1 therapy: the VIRAD APT randomi sed controlled trial,J. Durant; Philippe Clevenbergh; Philippe Halfon; Pascal Del-Giudice; S Porsin; Pere Simonet; N Montagne; CAB Boucher; JM Schapiro; P. Dellamonica,1999,The Lancet,10.1016/s0140-6736(98)12291-2,,https://doi.org/10.1016/s0140-6736(98)12291-2,OpenAlex,APT,discovery,761.0,12.0,754,2026-04-23T15:04:15.521928+00:00,40.0,72.34,40.0,0.0,25.0,42.7,Below quality threshold,reject
Bridging generality and specificity:<i>The amusement park theoretical (APT) model of creativity</i>,John Baer; James C. Kaufman,2005,Roeper Review,10.1080/02783190509554310,,https://doi.org/10.1080/02783190509554310,OpenAlex,APT,discovery,399.0,70.0,755,2026-04-23T15:04:15.521928+00:00,40.0,63.95,40.0,0.0,25.0,40.19,Below quality threshold,reject
"Wise Choices, Apt Feelings: A Theory of Normative Judgment.",Arthur Ripstein; Allan Gibbard,1992,The Philosophical Review,10.2307/2185966,,https://doi.org/10.2307/2185966,OpenAlex,APT,discovery,348.0,0.0,757,2026-04-23T15:04:15.521928+00:00,40.0,51.84,40.0,0.0,25.0,36.55,Below quality threshold,reject
Practical data acquisition method for human brain tumor amide proton transfer (APT) imaging,Jinyuan Zhou; Jaishri O. Blakeley; Jun Hua; Mina Kim; John Laterra; Martin G. Pomper; Peter C.M. van Zijl,2008,Magnetic Resonance in Medicine,10.1002/mrm.21712,,https://doi.org/10.1002/mrm.21712,OpenAlex,APT,discovery,335.0,44.0,758,2026-04-23T15:04:15.521928+00:00,40.0,63.38,40.0,0.0,25.0,40.01,Below quality threshold,reject
Synthesis of Fe3O4/APTES/PEG diacid functionalized magnetic nanoparticles for MR imaging,Bin Feng; Ruoyu Hong; L.S. Wang; Liang Guo; Hua Li; Jing Ding; Ying Zheng; D.G. Wei,2008,Colloids and Surfaces A Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2008.06.024,,https://doi.org/10.1016/j.colsurfa.2008.06.024,OpenAlex,APT,discovery,282.0,38.0,759,2026-04-23T15:04:15.521928+00:00,40.0,59.86,40.0,0.0,25.0,38.96,Below quality threshold,reject
"Yes, The APT Is Testable",Philip H. Dybvig; Stephen A. Ross,1985,The Journal of Finance,10.1111/j.1540-6261.1985.tb02370.x,,https://doi.org/10.1111/j.1540-6261.1985.tb02370.x,OpenAlex,APT,discovery,122.0,35.0,760,2026-04-23T15:04:15.521928+00:00,40.0,29.52,40.0,0.0,25.0,29.85,Below quality threshold,reject
The atopy patch test (APT) – a useful tool for the diagnosis of food allergy in children with atopic dermatitis,B. Niggemann; Susanne Reibel; U. Wahn,2000,Allergy,10.1034/j.1398-9995.2000.00464.x,,https://doi.org/10.1034/j.1398-9995.2000.00464.x,OpenAlex,APT,discovery,264.0,20.0,762,2026-04-23T15:04:15.521928+00:00,40.0,51.52,40.0,0.0,25.0,36.45,Below quality threshold,reject
A Study on Advanced Persistent Threats,Ping Chen; Lieven Desmet; Christophe Huygens,2014,Lecture notes in computer science,10.1007/978-3-662-44885-4_5,,https://doi.org/10.1007/978-3-662-44885-4_5,OpenAlex,advanced persistent threats,discovery,340.0,13.0,796,2026-04-23T15:04:15.521928+00:00,40.0,71.54,40.0,0.0,25.0,42.46,Below quality threshold,reject
Advanced Persistent threats and how to monitor and deter them,Colin Tankard,2011,Network Security,10.1016/s1353-4858(11)70086-1,,https://doi.org/10.1016/s1353-4858(11)70086-1,OpenAlex,advanced persistent threats,discovery,383.0,0.0,798,2026-04-23T15:04:15.521928+00:00,40.0,69.69,40.0,0.0,25.0,41.91,Below quality threshold,reject
Unicorn: Runtime Provenance-Based Detector for Advanced Persistent Threats,Xueyuan Han; Thomas Pasquier; Adam Bates; James Mickens; Margo Seltzer,2020,,10.14722/ndss.2020.24046,,https://doi.org/10.14722/ndss.2020.24046,OpenAlex,advanced persistent threats,discovery,261.0,100.0,799,2026-04-23T15:04:15.521928+00:00,40.0,78.98,40.0,0.0,25.0,44.69,Below quality threshold,reject
Detection of advanced persistent threat using machine-learning correlation analysis,Ibrahim Ghafir; Mohammad Hammoudeh; Václav Přenosil; Liangxiu Han; Robert Hegarty; Khaled M. Rabie; Francisco J. Aparicio‐Navarro,2018,Future Generation Computer Systems,10.1016/j.future.2018.06.055,,https://doi.org/10.1016/j.future.2018.06.055,OpenAlex,advanced persistent threats,discovery,288.0,61.0,800,2026-04-23T15:04:15.521928+00:00,40.0,75.76,40.0,0.0,0.0,38.73,Below quality threshold,reject
Dynamic defense strategy against advanced persistent threat with insiders,Pengfei Hu; Hongxing Li; Hao Fu; Derya Cansever; Prasant Mohapatra,2015,,10.1109/infocom.2015.7218444,,https://doi.org/10.1109/infocom.2015.7218444,OpenAlex,advanced persistent threats,discovery,162.0,20.0,805,2026-04-23T15:04:15.521928+00:00,40.0,57.94,40.0,0.0,0.0,33.38,Below quality threshold,reject
Analysis of high volumes of network traffic for Advanced Persistent Threat detection,Mirco Marchetti; Fabio Pierazzi; Michele Colajanni; Alessandro Guido,2016,Computer Networks,10.1016/j.comnet.2016.05.018,,https://doi.org/10.1016/j.comnet.2016.05.018,OpenAlex,advanced persistent threats,discovery,165.0,78.0,806,2026-04-23T15:04:15.521928+00:00,40.0,60.08,40.0,0.0,0.0,34.02,Below quality threshold,reject
The Big Four - What We Did Wrong in Advanced Persistent Threat Detection?,Nikos Virvilis; Dimitris Gritzalis,2013,,10.1109/ares.2013.32,,https://doi.org/10.1109/ares.2013.32,OpenAlex,advanced persistent threats,discovery,175.0,12.0,807,2026-04-23T15:04:15.521928+00:00,40.0,56.39,80.0,0.0,0.0,38.92,Below quality threshold,reject
Advanced persistent threats: Behind the scenes,Martin Ussath; David A. Jaeger; Feng Cheng; Christoph Meinel,2016,,10.1109/ciss.2016.7460498,,https://doi.org/10.1109/ciss.2016.7460498,OpenAlex,advanced persistent threats,discovery,112.0,7.0,808,2026-04-23T15:04:15.521928+00:00,40.0,52.31,40.0,0.0,25.0,36.69,Below quality threshold,reject
A Context-Based Detection Framework for Advanced Persistent Threats,Paul Giura; Wei Wang,2012,,10.1109/cybersecurity.2012.16,,https://doi.org/10.1109/cybersecurity.2012.16,OpenAlex,advanced persistent threats,discovery,102.0,9.0,810,2026-04-23T15:04:15.521928+00:00,40.0,44.51,40.0,0.0,25.0,34.35,Below quality threshold,reject
Advanced Persistent Threat,Rob Sloan,2014,Engineering & Technology Reference,10.1049/etr.2014.0025,,https://doi.org/10.1049/etr.2014.0025,OpenAlex,advanced persistent threats,discovery,68.0,0.0,811,2026-04-23T15:04:15.521928+00:00,40.0,39.64,40.0,0.0,0.0,27.89,Below quality threshold,reject
Advanced Persistent Threat: Understanding the Danger and How to Protect Your Organization,Eric Cole,2012,,,,http://www.sciencedirect.com/science/book/9781597499491,OpenAlex,advanced persistent threats,discovery,107.0,0.0,813,2026-04-23T15:04:15.521928+00:00,40.0,45.42,40.0,0.0,0.0,29.62,Below quality threshold,reject
Defending Against Advanced Persistent Threats Using Game-Theory,Stefan Raß; Sandra König; Stefan Schauer,2017,PLoS ONE,10.1371/journal.pone.0168675,,https://doi.org/10.1371/journal.pone.0168675,OpenAlex,advanced persistent threats,discovery,95.0,85.0,814,2026-04-23T15:04:15.521928+00:00,40.0,50.95,40.0,0.0,25.0,36.28,Below quality threshold,reject
Advanced Persistent Threats - detection and defense,J. Vukalovic; Damir Delija,2015,,10.1109/mipro.2015.7160480,,https://doi.org/10.1109/mipro.2015.7160480,OpenAlex,advanced persistent threats,discovery,73.0,1.0,815,2026-04-23T15:04:15.521928+00:00,40.0,42.42,40.0,0.0,25.0,33.73,Below quality threshold,reject
Towards a Framework to Detect Multi-stage Advanced Persistent Threats Attacks,Parth Bhatt; Edgar Toshiro Yano; Per M. Gustavsson,2014,,10.1109/sose.2014.53,,https://doi.org/10.1109/sose.2014.53,OpenAlex,advanced persistent threats,discovery,105.0,9.0,817,2026-04-23T15:04:15.521928+00:00,40.0,47.79,40.0,0.0,25.0,35.34,Below quality threshold,reject
Advanced persistent threats: minimising the damage,Ross Brewer,2014,Network Security,10.1016/s1353-4858(14)70040-6,,https://doi.org/10.1016/s1353-4858(14)70040-6,OpenAlex,advanced persistent threats,discovery,72.0,0.0,818,2026-04-23T15:04:15.521928+00:00,40.0,40.69,40.0,0.0,25.0,33.21,Below quality threshold,reject
A New Proposal on the Advanced Persistent Threat: A Survey,Santiago Quintero-Bonilla; A. Martı́n del Rey,2020,Applied Sciences,10.3390/app10113874,,https://doi.org/10.3390/app10113874,OpenAlex,advanced persistent threats,discovery,75.0,60.0,820,2026-04-23T15:04:15.521928+00:00,40.0,53.32,40.0,0.0,0.0,32.0,Below quality threshold,reject
"Bioelectromagnetism in Human Brain Research: New Applications, New Questions",J. Gross; M. Junghöfer; C. Wolters,2021,The Neuroscientist,10.1177/10738584211054742,"Bioelectromagnetism has contributed some of the most commonly used techniques to human neuroscience such as magnetoencephalography (MEG), electroencephalography (EEG), transcranial magnetic stimulation (TMS), and transcranial electric stimulation (TES). The considerable differences in their technical design and practical use give rise to the impression that these are quite different techniques altogether. Here, we review, discuss and illustrate the fundamental principle of Helmholtz reciprocity that provides a common ground for all four techniques. We show that, more than 150 years after its discovery by Helmholtz in 1853, reciprocity is important to appreciate the strengths and limitations of these four classical tools in neuroscience. We build this case by explaining the concept of Helmholtz reciprocity, presenting a methodological account of this principle for all four methods and, finally, by illustrating its application in practical clinical studies.",https://www.semanticscholar.org/paper/93f4f99f91618d734bb82717f99aa89891b83656,Semantic Scholar citation chain,Brainstorm: A User-Friendly Application for MEG/EEG Analysis,backward chaining,23.0,0.0,862,2026-04-23T15:04:15.521928+00:00,40.0,34.14,40.0,0.0,0.0,26.24,Below quality threshold,reject
RAIN: Refinable Attack Investigation with On-demand Inter-Process Information Flow Tracking,Yang Ji; Sangho Lee; E. Downing; Weiren Wang; M. Fazzini; Taesoo Kim; A. Orso; Wenke Lee,2017,Conference on Computer and Communications Security,10.1145/3133956.3134045,,https://www.semanticscholar.org/paper/e41004e875d09958b9d8013d05e098e37b842764,Semantic Scholar citation chain,HOLMES: Real-Time APT Detection through Correlation of Suspicious Information Flows,backward chaining,119.0,0.0,863,2026-04-23T15:04:15.521928+00:00,40.0,55.41,40.0,0.0,0.0,32.62,Below quality threshold,reject
